accuracy,loss,val_accuracy,val_loss,learning_rate
0.012373453006148338,4.67466402053833,0.01312335953116417,11.897398948669434,0.0010000000474974513
0.021372327581048012,4.577640056610107,0.007874015718698502,5.757760047912598,0.0010000000474974513
0.011248594149947166,4.568248748779297,0.015748031437397003,5.4018235206604,0.0010000000474974513
0.017997751012444496,4.5236687660217285,0.015748031437397003,4.960334777832031,0.0010000000474974513
0.013498312793672085,4.529265880584717,0.015748031437397003,4.712043285369873,0.0010000000474974513
0.007874015718698502,4.51018762588501,0.007874015718698502,4.560711860656738,0.0010000000474974513
0.015748031437397003,4.488664150238037,0.015748031437397003,4.515615940093994,0.0010000000474974513
0.015748031437397003,4.492756366729736,0.018372703343629837,4.515530109405518,0.0010000000474974513
0.022497188299894333,4.453832149505615,0.018372703343629837,4.498281478881836,0.0010000000474974513
0.024746906012296677,4.481786727905273,0.01312335953116417,4.513862609863281,0.0010000000474974513
0.016872890293598175,4.468957424163818,0.015748031437397003,4.499218940734863,0.0010000000474974513
0.02024746872484684,4.46173095703125,0.01312335953116417,4.469861030578613,0.0010000000474974513
0.024746906012296677,4.44397497177124,0.015748031437397003,4.473817825317383,0.0010000000474974513
0.02699662558734417,4.39552640914917,0.005249343812465668,4.479318141937256,0.00020000000949949026
0.024746906012296677,4.384815216064453,0.007874015718698502,4.492203235626221,0.00020000000949949026
0.02699662558734417,4.379462718963623,0.018372703343629837,4.495654106140137,0.00020000000949949026
0.03374578058719635,4.369877338409424,0.018372703343629837,4.520332336425781,0.00020000000949949026
